id,name,lat,lon,précipitation,description_meteo,temperature,scrapp
0,Mont Saint-Michel,48.6359541,-1.51146,0.0,couvert,22.92,1
1,St. Malo,49.314695,-96.9538228,1.0,pluie modérée,19.85,1
2,Bayeux,49.2764624,-0.7024738,0.0,couvert,21.61,1
3,Le Havre,49.4938975,0.1079732,0.0,couvert,20.13,1
4,Rouen,49.4404591,1.0939658,0.0,nuageux,25.97,1
5,Paris,48.8588897,2.320041,0.0,couvert,26.26,1
6,Amiens,49.8941708,2.2956951,0.0,couvert,26.56,1
7,Lille,50.6365654,3.0635282,0.0,nuageux,25.67,1
8,Strasbourg,48.584614,7.7507127,0.0,couvert,26.96,1
9,Château du Haut-Kœnigsbourg,48.2494107,7.3443202,0.0,couvert,26.63,1
10,Colmar,48.0777517,7.3579641,0.0,couvert,29.06,1
11,Eguisheim,48.0447968,7.3079618,0.0,couvert,29.0,1
12,Besançon,47.2380222,6.0243622,0.0,couvert,29.63,1
13,Dijon,47.3215806,5.0414701,0.0,couvert,30.06,1
14,Annecy,45.8992348,6.1288847,0.0,couvert,28.0,1
15,Grenoble,45.1875602,5.7357819,0.06,nuageux,30.81,1
16,Lyon,45.7578137,4.8320114,0.0,couvert,27.36,1
17,Gorges du Verdon,43.7496562,6.3285616,0.0,partiellement nuageux,26.86,1
18,Bormes-les-Mimosas,43.1506968,6.3419285,0.0,partiellement nuageux,28.41,1
19,Cassis,43.2140359,5.5396318,0.0,partiellement nuageux,25.99,1
20,Marseille,43.2961743,5.3699525,0.0,partiellement nuageux,25.64,1
21,Aix-en-Provence,43.5298424,5.4474738,0.0,ciel dégagé,30.47,1
22,Avignon,43.9492493,4.8059012,0.0,ciel dégagé,31.12,1
23,Uzès,44.0121279,4.4196718,0.0,partiellement nuageux,30.64,1
24,Nîmes,43.8374249,4.3600687,0.0,peu nuageux,30.9,1
25,Aigues-Mortes,43.5661521,4.19154,0.0,peu nuageux,25.32,1
26,Saintes-Maries-de-la-Mer,43.4515922,4.4277202,0.0,ciel dégagé,23.61,1
27,Collioure,42.52505,3.0831554,0.0,couvert,27.29,1
28,Carcassonne,43.2130358,2.3491069,0.0,couvert,28.05,1
29,Ariège,42.9455368,1.4065544,0.0,couvert,25.52,1
30,Toulouse,43.6044622,1.4442469,0.0,couvert,28.03,1
31,Montauban,44.0175835,1.3549991,0.0,couvert,28.37,1
32,Biarritz,43.4832523,-1.5592776,0.0,peu nuageux,23.01,1
33,Bayonne,43.4945144,-1.4736657,0.0,peu nuageux,23.93,1
34,La Rochelle,46.159732,-1.1515951,0.0,peu nuageux,22.8,1
